Wavelength (nm),14k,11k,8k,5k,3k
529,0.265461947,0.274098376,0.376634658,0.56342676,0.426068189
530,0.26283345,0.270849934,0.371783097,0.559970382,0.424524636
531,0.259588369,0.268004644,0.368945884,0.556764079,0.422768149
532,0.258291502,0.266029494,0.366643063,0.556087592,0.422981933
533,0.256334738,0.263920965,0.364919118,0.555265594,0.422762395
534,0.254078918,0.262171612,0.362136091,0.554062294,0.42296107
535,0.250956554,0.258894604,0.358254519,0.548884187,0.420441228
536,0.249039489,0.256225985,0.355732318,0.546677374,0.419319455
537,0.247241682,0.254243517,0.352664946,0.543298188,0.417753612
538,0.245623266,0.252887174,0.35168713,0.543684296,0.419826976
539,0.243489136,0.251187848,0.348906418,0.542449606,0.419509433
540,0.241481983,0.248351404,0.345481843,0.538474502,0.417250454
541,0.239701982,0.246448691,0.343734197,0.536944547,0.416807844
542,0.238541777,0.244525292,0.341511521,0.535757628,0.41601216
543,0.23688462,0.242975632,0.338649078,0.533553534,0.415328894
544,0.235759655,0.241788479,0.337429362,0.532270933,0.415616743
545,0.233792895,0.23932914,0.334456886,0.530673368,0.414616414
546,0.232271026,0.23761932,0.332273103,0.526783734,0.413641137
547,0.230865963,0.236241622,0.330651767,0.526537557,0.413077997
548,0.22998118,0.235176642,0.330206751,0.527601262,0.414704555
549,0.227685437,0.233025221,0.3260992,0.5219049,0.41117303
550,0.226332307,0.231364756,0.323958313,0.518957036,0.40998466
551,0.225450963,0.230158125,0.322358431,0.518746276,0.411068388
552,0.224928424,0.229800862,0.321759311,0.519601343,0.412295213
553,0.223005486,0.227431625,0.319350456,0.516409709,0.409972533
554,0.221890462,0.225783363,0.316972445,0.51382989,0.408556985
555,0.220780466,0.224696604,0.315098334,0.512074018,0.407954239
556,0.22047454,0.223933664,0.314357007,0.512797917,0.409263994
557,0.218920746,0.221888707,0.311505371,0.50842328,0.406457064
558,0.217900046,0.221369097,0.31073857,0.507004035,0.406196588
559,0.217024602,0.219949744,0.309256101,0.50572398,0.406091002
560,0.216477589,0.219503308,0.308371863,0.506130251,0.406871178
561,0.215750685,0.218621037,0.306803691,0.505889527,0.407724636
562,0.214128696,0.216423601,0.303625436,0.500002947,0.403911758
563,0.213723603,0.215917996,0.302619337,0.499673589,0.403584286
564,0.213462628,0.21530238,0.302240369,0.499456765,0.40458132
565,0.21227268,0.214434518,0.300069968,0.497711577,0.40352533
566,0.211704202,0.212733402,0.298575262,0.495504463,0.402640019
567,0.211196132,0.21316483,0.297461746,0.496228066,0.403886843
568,0.211347762,0.212135247,0.296323076,0.496414573,0.404915434
569,0.210878333,0.211614488,0.294479439,0.495902767,0.40516849
570,0.210798749,0.211191146,0.293514827,0.497507985,0.406994484
571,0.209514195,0.209765495,0.290719079,0.493781755,0.404926593
572,0.208386336,0.208016351,0.288344223,0.489311594,0.402382263
573,0.207178243,0.206922608,0.286577872,0.485098038,0.399916806
574,0.209214422,0.208759603,0.287958053,0.492348379,0.405888801
575,0.20761331,0.206382973,0.284662538,0.486251062,0.402017224
576,0.205283331,0.203907499,0.2809913,0.477102347,0.39529122
577,0.208865191,0.207425259,0.284922191,0.489287605,0.404863233
578,0.208699199,0.206849446,0.283619591,0.488152606,0.404734146
579,0.204162746,0.201792082,0.276674952,0.470285324,0.390982295
580,0.206262458,0.203928535,0.27902396,0.474941978,0.395025563
581,0.210251431,0.20776683,0.283533803,0.488153094,0.405718999
582,0.209195061,0.206351011,0.280676547,0.485213454,0.403630679
583,0.202280814,0.199104752,0.271002467,0.45984016,0.383602729
584,0.204699671,0.201894408,0.274782397,0.463324675,0.386227076
585,0.211270262,0.20817756,0.282632789,0.482892535,0.401818311
586,0.208582676,0.204760122,0.277693807,0.471883836,0.393224637
587,0.208155381,0.204570798,0.27666321,0.467485097,0.389719506
588,0.210522326,0.206229405,0.279195427,0.471794844,0.392926025
589,0.208452112,0.204123874,0.276092121,0.461746696,0.384465715
590,0.210881063,0.206447149,0.278933891,0.465482764,0.38694713
591,0.212634146,0.208267928,0.281118012,0.467378667,0.387866389
592,0.214447431,0.209796633,0.282584316,0.470470487,0.389883167
593,0.21795084,0.212978073,0.285779913,0.479397816,0.39691337
594,0.21522458,0.209833399,0.280955545,0.467303371,0.387086524
595,0.21630642,0.210871986,0.282574295,0.466511926,0.385551929
596,0.21763911,0.212041906,0.283988429,0.467702604,0.385667606
597,0.218903325,0.21363622,0.285879186,0.468384953,0.385493289
598,0.221893306,0.216093243,0.289316347,0.474088165,0.389329751
599,0.224243242,0.218707314,0.291671918,0.479581722,0.393101274
600,0.223135858,0.217398806,0.289872199,0.474957533,0.38861385
601,0.223385892,0.217821093,0.290558763,0.473313064,0.387013528
602,0.224344336,0.218859099,0.292137716,0.473731718,0.386447143
603,0.226789395,0.221357867,0.295533711,0.48020847,0.390588476
604,0.227904665,0.222595778,0.297354407,0.483351747,0.392838559
605,0.22929985,0.224105903,0.299645041,0.487465507,0.395277183
606,0.232782614,0.227376997,0.304759208,0.498607671,0.40323125
607,0.231238441,0.226090706,0.303933773,0.496224698,0.400820862
608,0.229908975,0.225150404,0.303173418,0.493782195,0.398654262
